Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude,Sigma
1936,5,26,9,44,34,-1.1132,21.3395,7.11,6.18,1.00
1936,7,26,5,22,2,-4.2599,20.1896,38.44,5.51,1.00
1936,8,24,13,18,46,-19.6495,25.7999,1.28,5.97,1.00
1936,8,31,22,42,38,-0.2527,22.4151,43.97,5.54,1.00
1936,10,29,1,44,16,-1.7488,23.5441,34.16,5.68,1.00
1936,11,11,22,12,12,-10.5675,26.9696,42.96,6.07,1.00
1937,4,2,11,54,18,-5.2741,24.5404,9.28,6.26,1.00
1937,7,17,10,42,3,-17.4005,29.3880,18.20,5.80,1.00
1937,10,4,3,3,45,-1.5973,25.0155,12.18,5.65,1.00
1937,10,16,19,14,47,-18.3404,26.1423,14.36,5.58,1.00
1938,3,18,6,53,40,-17.1638,24.5944,47.65,5.52,1.00
1938,4,10,4,29,35,-9.4468,26.4921,15.64,5.56,1.00
1938,4,23,10,16,41,-7.0854,22.0278,31.62,5.57,1.00
1938,5,24,7,49,46,-9.0563,27.1647,13.85,6.02,1.00
1938,7,15,19,15,42,-2.6739,26.1189,25.97,5.56,1.00
1938,8,4,6,9,19,-10.5171,23.1680,21.16,5.55,1.00
1938,10,30,3,0,39,-8.1969,28.7999,9.40,5.90,1.00
1939,3,15,0,22,38,-19.0346,21.1076,26.51,5.70,1.00
1939,6,2,11,36,44,-4.7643,24.3060,19.88,5.69,1.00
1939,6,21,20,50,4,-7.0676,21.0785,17.07,5.76,1.00
1939,8,1,8,54,48,-7.5390,25.0114,25.94,5.58,1.00
1939,8,11,12,47,9,-12.2308,26.5184,26.90,6.06,1.00
1939,9,29,5,7,3,-19.9765,25.3202,10.85,6.08,1.00
1939,12,3,17,31,48,-19.6407,22.5366,47.45,5.52,1.00
1940,1,31,22,21,37,-8.3412,21.8044,11.04,6.53,1.00
1940,7,17,16,21,28,-16.0913,23.0096,2.64,5.94,1.00
1940,8,12,21,35,38,-18.8898,28.2591,10.85,5.62,1.00
1941,1,15,4,48,26,-8.8869,25.8602,19.39,6.51,1.00
1941,4,22,15,36,46,-18.0105,25.2541,17.22,5.59,1.00
1941,6,10,5,17,34,-9.6707,26.1077,30.60,6.14,1.00
1941,6,28,2,31,26,-18.7385,26.5933,7.51,5.60,1.00
1941,7,7,2,14,34,-16.9827,26.8989,18.22,5.89,1.00
1941,8,3,9,24,18,-4.3927,20.4445,21.12,5.58,1.00
1942,2,24,0,14,30,-5.6262,26.4112,7.64,6.06,1.00
1942,7,4,12,42,51,-7.3654,21.8674,22.83,6.12,1.00
1942,11,6,0,42,10,-14.8424,24.0899,26.89,6.27,1.00
1942,11,24,9,1,45,-14.1959,20.0381,6.87,5.59,1.00
1942,12,27,22,15,12,-17.6806,28.9641,49.02,5.53,1.00
1943,3,9,22,55,6,-17.2125,26.8770,14.59,5.60,1.00
1943,3,20,11,13,13,-11.0029,20.2763,17.45,5.78,1.00
1943,7,16,13,24,16,-17.4278,24.6925,40.32,6.21,1.00
1943,8,28,4,18,2,-14.5580,22.7746,20.58,5.78,1.00
1943,10,29,15,20,49,-5.8478,21.7335,28.53,6.31,1.00
1944,3,10,21,54,39,-13.2009,20.1339,19.44,6.06,1.00
1944,3,16,22,54,47,-8.0302,26.7973,40.00,5.62,1.00
1944,4,13,20,39,20,-10.0467,24.9407,12.25,6.16,1.00
1944,9,18,18,54,42,-7.3676,26.6845,14.85,5.96,1.00
1944,10,10,15,34,47,-1.6469,22.3431,47.62,5.83,1.00
1945,2,11,19,18,21,-5.4214,26.4364,38.77,6.00,1.00
1945,2,23,12,30,53,-17.2691,20.9925,43.50,6.68,1.00
1945,8,24,10,10,56,-11.6973,20.6595,24.64,6.20,1.00
1945,9,29,11,19,30,-6.7337,26.5453,28.97,5.72,1.00
1945,10,26,9,33,49,-16.8263,29.1827,34.42,5.56,1.00
1945,11,20,0,8,23,-6.2409,27.1240,40.28,5.58,1.00
1945,11,26,4,6,37,-1.8400,22.7881,35.43,6.11,1.00
1946,2,10,5,11,31,-12.3290,25.1568,20.46,6.02,1.00
1946,2,27,20,56,14,-12.4718,24.2016,33.64,5.96,1.00
1946,6,12,5,5,51,-15.6792,26.9665,30.93,5.87,1.00
1946,6,23,14,46,23,-17.1282,27.0530,13.37,6.83,1.00
1946,8,25,22,33,30,-18.3327,23.4187,11.55,6.14,1.00
1946,11,7,0,14,12,-13.2925,24.4750,23.48,6.67,1.00
1946,12,19,9,54,49,-0.8094,21.6827,35.23,7.41,1.00
1947,1,14,13,37,45,-11.5250,26.4713,12.26,5.85,1.00
1947,2,5,23,28,50,-4.2180,24.9812,27.67,5.61,1.00
1947,8,11,12,10,7,-5.2963,25.0634,47.99,5.75,1.00
1947,11,13,14,21,4,-5.8650,22.6173,48.05,5.60,1.00
1947,11,18,19,8,15,-13.1366,27.9059,37.00,5.90,1.00
1947,11,20,23,4,26,-15.3941,29.3712,45.99,6.16,1.00
1948,2,26,5,22,45,-14.2694,21.1126,26.13,5.88,1.00
1948,2,29,5,58,49,-15.4187,24.7653,48.55,5.86,1.00
1948,3,4,11,6,52,-10.8772,23.1302,27.06,5.81,1.00
1948,3,26,18,33,8,-14.7031,25.0835,19.28,5.89,1.00
1948,4,16,20,49,55,-11.3760,29.2923,30.54,5.61,1.00
1948,8,20,14,25,39,-8.6926,20.8020,23.96,6.67,1.00
1948,12,13,6,38,8,-9.0839,26.2702,12.57,5.64,1.00
1949,3,10,7,15,18,-5.7419,27.8255,35.86,6.11,1.00
1949,6,12,22,15,25,-12.4415,21.7761,0.99,5.69,1.00
1949,11,18,10,28,3,-5.6122,26.8832,39.81,6.15,1.00
1950,1,3,10,5,37,-2.3526,25.8783,46.49,5.37,1.00
1950,1,10,23,47,47,-19.4871,27.2744,16.88,5.07,1.00
1950,3,12,18,52,2,-10.4836,24.5360,37.90,5.55,1.00
1950,3,25,4,26,41,-6.9496,21.9105,7.30,5.48,1.00
1950,4,3,8,20,34,-6.2572,22.4576,17.31,6.73,1.00
1950,4,12,9,46,21,-14.2328,24.6860,43.81,6.55,1.00
1950,4,18,13,19,40,-19.6119,21.7513,15.34,5.76,1.00
1950,5,31,13,44,25,-4.7409,20.3399,8.65,5.25,1.00
1950,6,25,19,24,22,-10.0165,28.5710,2.85,5.40,1.00
1950,7,30,9,43,31,-2.6511,23.0848,33.76,5.15,1.00
1950,8,14,13,50,24,-13.7942,23.0810,36.36,6.11,1.00
1950,8,20,15,25,55,-13.3240,24.9420,6.21,5.23,1.00
1950,8,31,7,50,39,-19.6021,29.3840,41.05,5.18,1.00
1950,9,25,4,1,51,-10.3832,21.0433,43.91,5.24,1.00
1950,10,29,9,1,40,-17.8772,26.3069,31.48,5.68,1.00
1950,11,3,16,42,48,-18.1453,29.4365,38.17,5.04,1.00
1950,11,10,15,27,4,-16.6193,23.6153,45.11,6.46,1.00
1950,12,4,11,33,16,-18.2990,22.3485,1.17,5.96,1.00
1950,12,27,14,41,22,-19.4815,26.8581,2.39,5.21,1.00
1951,1,24,13,23,21,-9.3197,20.5935,34.99,7.19,1.00
1951,2,8,23,24,40,-0.6305,23.2526,31.12,5.39,1.00
1951,4,6,2,6,51,-6.5670,20.2803,21.08,5.15,1.00
1951,4,10,10,35,21,-4.2560,24.4990,33.19,5.63,1.00
1951,4,26,11,26,55,-11.5424,29.7059,35.75,5.74,1.00
1951,5,4,11,8,51,-5.0883,23.6152,8.81,5.11,1.00
1951,5,17,18,5,36,-8.9731,24.5186,4.05,5.27,1.00
1951,6,6,20,19,24,-18.9298,29.8108,7.02,6.38,1.00
1951,7,14,0,21,59,-0.9902,24.4705,15.91,5.68,1.00
1951,7,24,10,21,26,-7.9435,20.0111,31.21,5.37,1.00
1951,8,12,11,21,39,-15.6062,22.5108,21.71,5.00,1.00
1951,8,29,4,43,8,-12.8424,29.9963,16.03,5.39,1.00
1951,8,30,15,4,33,-8.5354,23.8474,35.49,5.46,1.00
1951,9,3,13,52,40,-11.7935,29.0092,20.63,5.03,1.00
1951,9,15,13,20,26,-9.1308,24.5984,4.75,5.03,1.00
1951,9,25,10,54,46,-1.0581,21.6961,7.68,5.11,1.00
1951,10,6,15,37,21,-16.4807,23.6451,32.87,5.11,1.00
1951,10,14,5,32,56,-10.3888,29.5787,29.19,5.45,1.00
1951,10,19,20,33,58,-14.5007,25.9945,27.01,6.31,1.00
1951,11,4,14,21,21,-10.5964,29.4753,45.68,5.52,1.00
1951,12,2,15,42,18,-15.0178,20.7497,20.98,5.29,1.00
1952,2,1,23,31,9,-12.7209,21.3190,19.24,5.50,1.00
1952,2,3,14,44,31,-5.1764,20.6601,34.10,5.00,1.00
1952,2,4,2,18,49,-15.2953,22.9408,15.02,5.24,1.00
1952,2,12,2,39,10,-15.2496,28.3593,10.41,5.20,1.00
1952,2,25,3,32,36,-16.6332,29.5723,13.75,5.69,1.00
1952,3,9,2,13,54,-8.7311,26.0956,9.66,5.05,1.00
1952,4,3,5,23,19,-4.9507,24.4961,19.22,5.41,1.00
1952,4,22,3,25,42,-8.6129,23.8139,34.59,5.10,1.00
1952,4,28,22,1,10,-9.3961,21.7413,31.01,5.26,1.00
1952,5,3,18,29,45,-19.7820,23.5026,31.99,6.05,1.00
1952,6,5,23,43,40,-4.4149,23.4263,33.78,5.21,1.00
1952,7,20,18,16,32,-13.2712,23.0012,22.25,5.06,1.00
1952,7,21,22,30,18,-2.5514,25.2178,40.57,5.90,1.00
1952,8,22,14,41,13,-6.5875,26.8020,17.98,5.28,1.00
1952,8,27,18,7,41,-5.7674,26.1581,10.77,5.02,1.00
1952,9,22,4,59,53,-9.4543,29.0311,26.59,5.95,1.00
1952,9,23,2,32,39,-12.3513,23.8042,26.59,5.08,1.00
1952,10,1,10,21,8,-3.3887,26.0598,49.61,5.11,1.00
1952,10,2,19,56,12,-6.2614,22.9912,29.64,5.01,1.00
1952,10,30,14,56,7,-13.0685,29.2472,18.01,5.06,1.00
1952,11,25,18,29,57,-5.0268,25.4171,31.46,5.55,1.00
1952,12,23,16,23,26,-10.3340,27.0869,12.24,5.47,1.00
1952,12,27,19,46,3,-2.9355,20.3030,29.64,6.08,1.00
1953,2,11,4,57,3,-12.5905,24.9586,15.08,5.76,1.00
1953,2,23,11,36,36,-12.9840,28.7137,38.03,5.09,1.00
1953,3,4,0,6,26,-18.5456,20.8264,39.65,5.43,1.00
1953,3,7,6,41,35,-19.4929,20.5999,16.34,5.85,1.00
1953,4,1,17,51,35,-19.6676,29.4759,10.97,6.25,1.00
1953,4,28,14,59,52,-10.9990,22.7415,6.61,5.20,1.00
1953,5,13,1,56,58,-8.4697,26.9101,5.65,5.51,1.00
1953,5,30,8,24,18,-4.5004,21.4807,45.36,5.08,1.00
1953,6,6,2,33,55,-3.3399,25.1080,36.03,5.90,1.00
1953,6,18,3,8,8,-17.3409,28.9079,19.72,6.05,1.00
1953,9,13,15,4,56,-9.5733,23.0729,1.52,5.01,1.00
1953,10,30,6,59,21,-12.5776,22.3843,22.64,6.03,1.00
1953,11,9,13,7,16,-15.2079,26.9590,2.08,5.57,1.00
1953,11,13,8,43,43,-17.8811,20.0319,46.82,5.47,1.00
1954,1,3,2,36,12,-1.0853,20.8829,0.18,5.09,1.00
1954,1,16,9,19,29,-8.7617,28.2014,45.29,5.40,1.00
1954,3,5,9,29,31,-13.6919,24.1837,38.45,5.35,1.00
1954,4,30,3,2,26,-12.4682,28.4739,8.47,5.21,1.00
1954,6,11,13,19,14,-1.7921,24.9345,16.41,5.87,1.00
1954,6,29,0,26,3,-18.0722,22.5581,26.25,5.11,1.00
1954,7,5,23,40,31,-19.5000,24.1553,28.61,5.04,1.00
1954,7,23,18,20,12,-5.3638,26.2448,26.28,5.34,1.00
1954,10,2,17,21,6,-18.7810,21.0077,25.56,5.19,1.00
1954,10,20,4,43,25,-9.1051,24.7848,20.67,5.13,1.00
1954,11,5,0,4,33,-8.8168,29.1404,9.18,5.23,1.00
1954,11,18,22,19,54,-16.8624,28.5834,45.85,5.21,1.00
1954,11,22,8,5,2,-16.3109,28.2354,27.84,5.30,1.00
1954,12,9,8,4,13,-14.7742,20.8363,34.20,5.19,1.00
1954,12,29,22,20,2,-18.2254,28.0175,40.19,5.89,1.00
1955,1,11,11,37,52,-9.3510,24.2788,30.78,5.42,1.00
1955,8,23,23,17,9,-18.8585,25.6466,15.07,5.17,1.00
1955,8,27,5,28,21,-4.6987,27.2725,2.17,5.10,1.00
1955,10,26,20,19,25,-6.5732,26.8432,20.40,5.07,1.00
1955,11,6,10,31,27,-15.2442,29.5066,43.91,5.40,1.00
1955,11,18,7,39,2,-18.3771,21.7959,31.23,5.85,1.00
1955,11,22,21,23,46,-9.6761,20.6745,3.51,5.58,1.00
1955,12,17,6,15,0,-17.4231,25.9449,48.95,5.45,1.00
1956,2,2,8,56,44,-18.4229,20.8345,4.64,5.34,1.00
1956,2,11,23,37,31,-10.3493,21.7664,23.97,5.18,1.00
1956,3,23,2,22,59,-15.5527,24.4140,3.67,5.02,1.00
1956,4,6,7,56,12,-10.6546,29.3460,11.80,5.15,1.00
1956,5,24,2,5,25,-6.3083,20.0954,43.10,5.28,1.00
1956,5,24,11,56,28,-10.2902,25.1781,31.10,5.07,1.00
1956,6,24,13,29,30,-10.9699,22.3384,35.87,6.09,1.00
1956,7,8,22,23,18,-14.3003,28.1136,12.79,5.01,1.00
1956,7,9,15,37,40,-4.1731,24.5636,37.12,5.12,1.00
1956,8,9,13,25,21,-2.2340,20.8063,33.59,5.04,1.00
1956,10,23,9,34,44,-9.3006,23.2790,8.79,5.41,1.00
1956,11,2,17,51,46,-15.9165,21.3149,19.98,5.28,1.00
1956,11,16,6,17,30,-18.8406,20.8359,41.24,5.53,1.00
1956,11,24,16,3,0,-11.6092,27.6674,39.15,5.61,1.00
1956,12,26,19,9,26,-16.2530,25.3229,48.79,5.04,1.00
1957,3,19,1,43,57,-9.0637,20.0704,47.02,6.14,1.00
1957,4,18,6,3,49,-10.5725,23.2750,39.60,5.91,1.00
1957,4,21,15,17,9,-12.0729,27.5959,37.10,5.14,1.00
1957,4,24,15,45,53,-8.5121,23.8202,18.81,7.83,1.00
1957,5,11,4,20,16,-8.1749,28.2931,28.63,5.11,1.00
1957,8,14,21,6,39,-6.5461,22.0321,11.89,5.64,1.00
1957,10,5,9,2,18,-9.9904,23.9736,24.95,5.59,1.00
1957,10,12,15,15,46,-15.6992,28.3555,7.55,5.39,1.00
1957,10,16,15,13,14,-18.0722,21.0300,35.89,5.09,1.00
1957,11,26,16,45,54,-7.2066,22.8868,20.13,5.34,1.00
1957,11,28,9,40,40,-1.6692,22.1399,1.13,5.36,1.00
1957,12,29,2,43,7,-4.1805,25.2993,15.98,5.24,1.00
1958,1,15,0,31,17,-17.1143,24.3662,45.10,5.00,1.00
1958,2,5,3,24,29,-11.4845,20.6945,28.56,5.21,1.00
1958,2,8,3,55,28,-3.0460,20.2427,28.46,5.48,1.00
1958,2,25,23,19,50,-15.0419,26.0225,3.07,5.75,1.00
1958,3,18,3,7,23,-7.7162,25.7176,3.44,5.02,1.00
1958,3,24,17,26,23,-18.7209,25.5107,1.08,5.15,1.00
1958,4,8,9,57,14,-9.1240,26.4099,25.84,5.78,1.00
1958,4,21,1,23,2,-2.5705,25.3178,20.00,5.36,1.00
1958,7,9,4,59,13,-19.7223,25.5776,23.07,5.01,1.00
1958,8,11,18,39,54,-6.3855,26.6530,33.37,5.36,1.00
1958,8,19,2,49,9,-17.4637,27.1831,30.55,5.23,1.00
1958,9,22,11,59,29,-18.4986,29.7700,4.07,5.48,1.00
1958,10,26,4,19,12,-7.7603,20.4763,12.35,5.02,1.00
1958,11,3,14,33,54,-1.5405,22.4839,24.61,5.58,1.00
1958,11,22,10,58,30,-13.8586,23.6315,31.75,5.99,1.00
1958,12,17,5,3,33,-4.9142,21.3784,26.59,5.37,1.00
1959,1,2,8,40,21,-3.1142,22.2283,10.10,5.52,1.00
1959,2,19,23,22,26,-7.3696,22.2635,7.17,5.84,1.00
1959,3,2,15,49,1,-7.8581,23.8620,18.87,5.20,1.00
1959,4,19,19,14,55,-7.6037,25.9616,16.30,5.78,1.00
1959,7,4,19,41,2,-10.7223,20.9036,32.53,5.67,1.00
1959,7,12,1,8,39,-16.1441,26.9618,42.92,5.55,1.00
1959,7,20,20,35,13,-10.4794,25.6038,32.05,5.25,1.00
1959,7,31,8,34,5,-16.8375,28.3004,21.26,6.73,1.00
1959,9,17,16,2,56,-12.5275,26.3449,49.12,5.34,1.00
1959,9,20,15,1,23,-12.5408,28.0185,47.18,6.04,1.00
1959,10,7,8,49,52,-8.8424,28.7369,31.11,5.30,1.00
1959,10,8,2,25,16,-8.2076,21.9160,34.85,5.52,1.00
1959,10,13,2,8,2,-4.1742,20.0351,30.59,5.25,1.00
1959,10,24,3,28,5,-15.6512,26.6695,27.55,5.56,1.00
1959,11,18,9,48,43,-5.9951,24.9419,6.93,5.42,1.00
1959,12,6,18,31,44,-12.0151,25.2337,49.00,5.93,1.00
1959,12,9,10,42,6,-16.2296,21.5994,8.56,5.93,1.00
1960,1,16,5,54,40,-12.0714,27.7135,43.36,6.45,1.00
1960,5,7,17,23,52,-5.1199,22.9812,45.34,6.19,1.00
1960,6,3,9,58,19,-3.7081,20.8960,39.65,6.20,1.00
1960,8,31,11,6,52,-5.3398,20.7147,31.67,5.75,1.00
1960,9,2,4,21,37,-3.0560,23.9621,10.34,6.13,1.00
1960,9,13,20,40,17,-5.4029,27.1028,16.97,5.62,1.00
1960,10,25,3,13,40,-9.1150,24.6654,20.14,6.06,1.00
1960,11,14,20,22,26,-15.3635,27.5175,23.30,5.53,1.00
1960,12,15,3,33,54,-12.6262,26.3334,46.71,5.59,1.00
1961,1,11,1,35,53,-11.9664,20.6488,38.62,5.76,1.00
1961,3,15,17,11,31,-6.9471,28.2666,43.51,5.53,1.00
1961,4,9,3,58,46,-12.1438,27.5375,8.93,6.02,1.00
1961,7,6,12,56,48,-16.6320,23.6710,46.88,6.15,1.00
1961,9,2,6,32,45,-11.3453,27.5901,17.46,5.63,1.00
1961,11,8,3,36,30,-12.7252,27.3138,31.93,7.49,1.00
1961,12,2,5,6,1,-7.2033,27.0845,43.40,6.63,1.00
1962,1,22,10,11,43,-11.3504,25.0974,36.85,5.60,1.00
1962,5,9,1,34,16,-14.7407,27.0981,31.52,5.51,1.00
1962,6,12,20,59,1,-10.9808,22.5797,11.89,6.08,1.00
1962,6,18,12,19,26,-12.3064,27.5441,0.21,5.74,1.00
1962,8,21,11,15,25,-19.5368,24.8156,1.65,5.65,1.00
1962,10,30,0,29,40,-3.2557,25.0940,27.45,5.58,1.00
1963,7,13,19,28,26,-6.1922,20.0714,48.10,6.02,1.00
1963,8,21,1,33,10,-16.3383,28.1539,6.38,6.19,1.00
1964,2,3,2,31,57,-15.3164,27.1802,42.98,5.50,1.00
1964,4,15,18,19,45,-8.6065,27.6359,12.10,5.81,1.00
1964,6,8,4,44,22,-15.7466,28.3764,32.22,6.31,1.00
1964,6,14,19,55,50,-15.1192,27.1151,22.44,6.48,1.00
1964,12,12,2,11,30,-14.0916,25.2292,46.93,5.52,1.00
1965,1,4,13,37,31,-15.5986,29.9469,43.87,6.10,1.00
1965,1,10,16,54,15,-9.0924,21.1549,18.78,5.31,1.00
1965,4,27,20,19,4,-5.9323,23.2858,25.64,5.35,1.00
1965,6,8,9,37,15,-19.0117,22.1081,39.14,6.06,1.00
1965,7,28,0,53,50,-16.2419,24.1138,16.29,5.60,1.00
1965,8,10,7,3,54,-13.3063,22.6573,24.90,5.01,1.00
1965,8,26,2,25,10,-15.1590,26.4604,13.93,5.46,1.00
1965,10,19,12,48,42,-9.4684,23.7893,0.90,5.31,1.00
1965,10,28,22,12,2,-2.3438,24.8017,28.93,5.32,1.00
1965,11,13,12,3,23,-16.3611,27.7102,16.52,5.37,1.00
1965,12,12,6,53,52,-3.2205,22.4391,32.36,5.01,1.00
1965,12,16,13,31,1,-2.0257,22.6484,36.69,5.36,1.00
1966,1,18,15,10,17,-5.6464,20.9572,29.34,5.35,1.00
1966,1,22,15,39,46,-5.7739,27.4003,8.16,5.67,1.00
1966,3,3,2,39,28,-14.5450,24.1510,21.72,6.09,1.00
1966,3,7,17,47,51,-7.9189,22.6355,32.36,5.19,1.00
1966,4,6,17,15,35,-1.8315,24.3252,28.85,5.19,1.00
1966,5,1,7,58,32,-16.3619,29.7778,10.88,5.19,1.00
1966,5,11,12,26,13,-4.0553,22.3640,12.05,5.02,1.00
1966,5,12,16,37,41,-10.0755,22.4717,38.04,5.80,1.00
1966,5,17,22,16,50,-14.8058,22.5838,38.33,5.63,1.00
1966,5,26,2,12,36,-0.7938,24.3704,3.14,5.62,1.00
1966,5,29,16,26,58,-10.8864,21.9114,15.17,5.23,1.00
1966,6,15,17,31,26,-12.8253,23.3653,25.44,5.49,1.00
1966,7,25,5,29,31,-5.7679,24.2549,21.81,5.08,1.00
1966,7,28,1,54,22,-19.7083,23.4426,38.66,5.26,1.00
1966,8,1,4,41,35,-8.5490,21.8137,21.26,5.06,1.00
1966,8,14,16,30,31,-1.4407,21.8349,20.56,5.13,1.00
1966,8,27,21,53,31,-7.0220,25.3549,6.41,5.10,1.00
1966,9,7,13,46,0,-13.4179,25.2641,45.83,5.27,1.00
1966,9,7,16,1,30,-16.0059,29.8204,15.17,5.50,1.00
1966,9,25,3,22,10,-16.4399,25.7870,29.99,5.53,1.00
1966,10,6,13,10,37,-7.8524,20.5439,33.51,5.32,1.00
1966,11,8,4,15,37,-6.5132,25.5809,29.82,5.73,1.00
1966,11,23,14,42,39,-13.3839,20.3540,30.32,5.02,1.00
1966,11,27,7,31,57,-8.3476,27.5514,35.79,5.11,1.00
1966,12,10,3,17,19,-10.0805,21.4873,29.16,5.61,1.00
1966,12,28,10,52,56,-19.4905,22.4455,29.64,5.44,1.00
1967,1,23,7,2,23,-2.2180,23.9013,12.55,5.50,1.00
1967,2,17,21,8,2,-4.7407,26.5766,25.92,5.64,1.00
1967,3,3,7,32,12,-18.2390,23.6136,23.56,5.09,1.00
1967,3,13,10,51,31,-7.0546,21.1969,37.56,5.05,1.00
1967,4,14,14,2,54,-5.2576,22.3348,22.17,5.39,1.00
1967,4,23,12,12,37,-3.0924,24.0221,4.01,5.59,1.00
1967,4,30,1,44,18,-13.0457,22.9509,30.83,5.00,1.00
1967,5,9,3,37,50,-15.6137,20.3462,21.82,6.74,1.00
1967,5,19,22,47,44,-19.2546,20.9510,38.27,6.54,1.00
1967,5,23,5,49,31,-1.4952,24.4676,18.21,5.24,1.00
1967,6,9,5,35,28,-0.6516,21.1231,18.78,5.20,1.00
1967,7,4,0,32,34,-1.1650,22.7399,20.81,5.81,1.00
1967,7,20,10,4,31,-8.4152,26.5727,5.76,5.15,1.00
1967,7,23,20,1,38,-8.1550,25.9639,18.96,5.23,1.00
1967,8,1,13,21,37,-10.6177,20.9344,10.70,5.36,1.00
1967,9,5,7,12,12,-4.8369,25.7768,22.59,5.05,1.00
1967,9,11,2,22,28,-17.3111,24.1279,31.88,5.38,1.00
1967,10,23,23,43,42,-8.7682,20.5800,22.62,5.20,1.00
